"experiment","temperature C","RNase pretreatment","Water type","target","target_region","k","log10k","standard error","k_upr","k_lwr","k_plot","includes0","not_signif","p","n","significance_level"
"15-1","15","No pretreatment","0.1-F","HIE Assay","HIE Assay",2.18419791923553,0.339291989040646,NA,NA,NA,2.18419791923553,NA,FALSE,NA,2,NA
"15-1","15","No pretreatment","0.1-F","MK1","1",0.01,-0.951184168384794,0.0514452201750699,0.163341547324806,0.0604511069746658,0.111896327149736,FALSE,TRUE,0.16163142087815,4,""
"15-1","15","No pretreatment","0.1-F","MK3","3",0.094985475979327,-1.0223427966507,0.0225464745842692,0.117531950563596,0.0724390013950577,0.094985475979327,FALSE,FALSE,0.0135548482712871,6,"."
"15-1","15","No pretreatment","0.1-F","MK5","5",0.0929643558041745,-1.03168353579928,0.0202715195821999,0.113235875386374,0.0726928362219746,0.0929643558041745,FALSE,FALSE,0.0101377070496982,6,"."
"15-1","15","No pretreatment","0.1-F","MK7","7",0.118855761833765,-0.924979759901678,0.0158186751269628,0.134674436960728,0.103037086706803,0.118855761833765,FALSE,FALSE,0.0016793062897199,6,"*"
"15-1","15","No pretreatment","0.1-F","ORF","ORF",0.0777760196594798,-1.10915428649271,0.0164152364438174,0.0941912561032971,0.0613607832156624,0.0777760196594798,FALSE,FALSE,0.00905027245076602,6,"*"
"15-2","15","No pretreatment","0.1-F","HIE Assay","HIE Assay",0.361783253426318,-0.44155154005461,0.083191073986093,0.444974327412411,0.278592179440225,0.361783253426318,FALSE,FALSE,0.0490203330139759,4,"."
"15-2","15","No pretreatment","0.1-F","MK1","1",0.01,-2.44000226940696,0.0920797876263973,0.0957105492014946,-0.0884490260513,0.00363076157509729,TRUE,TRUE,0.972129184131152,4,""
"15-2","15","RNase pretreatment","0.1-F","MK1","1",0.01,NA,0.126795328466278,0.0520085018229967,-0.201582155109559,-0.0747868266432812,TRUE,TRUE,0.61506903441788,4,""
"15-2","15","No pretreatment","0.1-F","MK3","3",0.01,NA,0.0971623396718818,0.0789340739696913,-0.115390605374072,-0.0182282657021905,TRUE,TRUE,0.868494398074506,4,""
"15-2","15","RNase pretreatment","0.1-F","MK3","3",0.01,NA,0.0948776283631086,0.0790151833387617,-0.110740073387456,-0.015862445024347,TRUE,TRUE,0.882597464608518,4,""
"15-2","15","No pretreatment","0.1-F","MK5","5",0.01,NA,0.112171622018521,0.0591288901050605,-0.165214353931981,-0.0530427319134602,TRUE,TRUE,0.682887144034391,4,""
"15-2","15","RNase pretreatment","0.1-F","MK5","5",0.01,NA,0.103327627980468,0.0724070589349783,-0.134248197025959,-0.0309205690454901,TRUE,TRUE,0.792983619788246,4,""
"15-2","15","No pretreatment","0.1-F","MK7","7",0.01,-1.41446157337169,0.191292440755124,0.229799329184138,-0.152785552326109,0.0385068884290148,TRUE,TRUE,0.859080831134363,4,""
"15-2","15","RNase pretreatment","0.1-F","MK7","7",0.01,NA,0.0937730824031005,0.0244226690383167,-0.163123495767884,-0.0693504133647838,TRUE,TRUE,0.536594390843481,4,""
"15-2","15","No pretreatment","0.1-F","ORF","ORF",0.01,NA,0.02429562967697,0.00124703860188383,-0.0473442207520562,-0.0230485910750862,TRUE,TRUE,0.442918436318904,4,""
"15-2","15","RNase pretreatment","0.1-F","ORF","ORF",0.01,NA,0.0362085583607387,0.0257482747274357,-0.0466688419940418,-0.010460283633303,TRUE,TRUE,0.799857222529842,4,""
"20-1","20","No pretreatment","0.22-F","HIE Assay","HIE Assay",0.01,-0.495455837252132,0.0620162885813295,0.381570218364992,0.257537641202333,0.319553929783663,FALSE,TRUE,0.122032732824766,3,""
"20-1","20","No pretreatment","0.22-F","OL1b","1",0.01,-0.942290504114733,0.121519280220777,0.235730690937155,-0.00730786950439888,0.114211410716378,TRUE,TRUE,0.519729483140403,3,""
"20-1","20","No pretreatment","0.22-F","OL3a","3",0.01,-1.08551973750064,0.132391766271875,0.214517689071137,-0.0502658434726126,0.0821259227992624,TRUE,TRUE,0.646529314750691,3,""
"20-1","20","No pretreatment","0.22-F","OL5a","5",0.01,-0.977233559041147,0.112252121385814,0.217634122442379,-0.00687012032924908,0.105382001056565,TRUE,TRUE,0.520089692211518,3,""
"20-1","20","No pretreatment","0.22-F","OL7b","7",0.01,-1.13644818314061,0.16964265808356,0.242681153273157,-0.0966041628939626,0.0730384951895972,TRUE,TRUE,0.741178147761568,3,""
"20-1","20","No pretreatment","0.22-F","ORF","ORF",0.01,-1.24265303085631,0.105424377538578,0.162617916361739,-0.0482308387154163,0.0571935388231615,TRUE,TRUE,0.683553633976692,3,""
"20-2","20","No pretreatment","0.22-F","HIE Assay","HIE Assay",0.210175425838702,-0.677418063981164,0.0555539865785103,0.265729412417213,0.154621439260192,0.210175425838702,FALSE,FALSE,0.0323712897109534,5,"."
"20-2","20","No pretreatment","0.22-F","OL1b","1",0.01,-1.80435049185214,0.025344153296321,0.0410351130384444,-0.00965319355419757,0.0156909597421234,TRUE,TRUE,0.569359515868779,6,""
"20-2","20","RNase pretreatment","0.22-F","OL1b","1",0.01,-1.32981862410049,0.0171813950631116,0.0639744474551839,0.0296116573289607,0.0467930523920723,FALSE,TRUE,0.0527972759448951,6,""
"20-2","20","No pretreatment","0.22-F","OL3a","3",0.01,-1.7683290521775,0.031017242032628,0.048065144333098,-0.013969339732158,0.01704790230047,TRUE,TRUE,0.611819979106957,6,""
"20-2","20","RNase pretreatment","0.22-F","OL3a","3",0.01,-1.80547568904019,0.00838885695982637,0.0240392162042047,0.00726150228455191,0.0156503592443783,FALSE,TRUE,0.13551719670638,6,""
"20-2","20","No pretreatment","0.22-F","OL5a","5",0.01,-1.72826274423059,0.0310924378984356,0.049787945267256,-0.0123969305296151,0.0186955073688204,TRUE,TRUE,0.58006277717133,6,""
"20-2","20","RNase pretreatment","0.22-F","OL5a","5",0.01,-1.93562066383886,0.00842031379510644,0.0200182131629594,0.00317758557274653,0.011597899367853,FALSE,TRUE,0.240447012831007,6,""
"20-2","20","No pretreatment","0.22-F","OL7b","7",0.01,-2.10286827893026,0.0356245531471361,0.0435155472908197,-0.0277335590034525,0.00789099414368363,TRUE,TRUE,0.835548251089222,6,""
"20-2","20","RNase pretreatment","0.22-F","OL7b","7",0.01,-2.12293144059054,0.0127653448004548,0.0203000898079482,-0.00523059979296135,0.00753474500749342,TRUE,TRUE,0.586756090048298,6,""
"20-2","20","No pretreatment","0.22-F","ORF","ORF",0.01,-2.31250141435023,0.0248085006753597,0.0296781600681589,-0.0199388412825604,0.00486965939279926,TRUE,TRUE,0.853952425567726,6,""
"20-2","20","RNase pretreatment","0.22-F","ORF","ORF",0.01,NA,0.0135594843698267,0.00157418001963658,-0.0255447887200168,-0.0119853043501901,TRUE,TRUE,0.426675312327744,6,""
"15-1","15","No pretreatment","0.1-F","Genome-wide extrapolation","Genome-wide extrapolation",1.46732374712455,0.166525946206997,0.274964359892832,1.74228810701738,1.19235938723172,1.46732374712455,FALSE,FALSE,0.00593958365875725,6,"*"
"15-2","15","No pretreatment","0.1-F","Genome-wide extrapolation","Genome-wide extrapolation",0.01,-2,1.67675757902601,1.56896419286332,-1.78455096518871,-0.107793386162693,TRUE,TRUE,0.954589258901501,4,""
"20-1","20","No pretreatment","0.22-F","Genome-wide extrapolation","Genome-wide extrapolation",0.01,-2,2.06984774873425,3.51755811817688,-0.622137379291613,1.44771036944263,TRUE,TRUE,0.611444049366488,3,""
"20-2","20","No pretreatment","0.22-F","Genome-wide extrapolation","Genome-wide extrapolation",0.01,-2,0.471060071972265,0.700237255659816,-0.241882888284715,0.229177183687551,TRUE,TRUE,0.652056490366529,6,""
