"sample_date","time_point","read_date","id","storage_condition","dilution_factor","sample_vol_uL","plaque_count"
"2021-11-02","T13","2021-11-03","pos_MS2_working_10xglycerol","-80","10000","300","TNTC"
"2021-10-26","T6","2021-10-27","pos_MS2_working_10xglycerol","-80","1e+05","300","388"
"2021-11-02","T13","2021-11-03","pos_MS2_working_10xglycerol","-80","1e+05","300","TNTC"
"2021-11-08","T18","2021-11-09","pos_MS2_working_10xglycerol","-80","1e+05","300","TNTC"
"2021-11-15","T25","2021-11-16","pos_MS2_working_10xglycerol","-80","1e+05","300","TNTC"
"2021-11-22","T32","2021-11-23","pos_MS2_working_10xglycerol","-80","1e+05","300","TNTC"
"2021-10-26","T6","2021-10-27","pos_MS2_working_10xglycerol","-80","1e+06","300","42"
"2021-11-02","T13","2021-11-03","pos_MS2_working_10xglycerol","-80","1e+06","300","135"
"2021-11-08","T18","2021-11-09","pos_MS2_working_10xglycerol","-80","1e+06","300","TNTC"
"2021-11-15","T25","2021-11-16","pos_MS2_working_10xglycerol","-80","1e+06","300","TNTC"
"2021-11-22","T32","2021-11-23","pos_MS2_working_10xglycerol","-80","1e+06","300","TNTC"
"2021-11-30","T40","2021-12-01","pos_MS2_working_10xglycerol","-80","1e+06","300","TNTC"
"2021-12-07","T47","2021-12-08","pos_MS2_working_10xglycerol","-80","1e+06","300","TNTC"
"2021-12-14","T54","2021-12-15","pos_MS2_working_10xglycerol","-80","1e+06","300","TNTC"
"2021-10-26","T6","2021-10-27","pos_MS2_working_10xglycerol","-80","1e+07","300","4"
"2021-11-02","T13","2021-11-03","pos_MS2_working_10xglycerol","-80","1e+07","300","8"
"2021-11-08","T18","2021-11-09","pos_MS2_working_10xglycerol","-80","1e+07","300","273"
"2021-11-15","T25","2021-11-16","pos_MS2_working_10xglycerol","-80","1e+07","300","86"
"2021-11-22","T32","2021-11-23","pos_MS2_working_10xglycerol","-80","1e+07","300","371"
"2021-11-30","T40","2021-12-01","pos_MS2_working_10xglycerol","-80","1e+07","300","TNTC"
"2021-12-07","T47","2021-12-08","pos_MS2_working_10xglycerol","-80","1e+07","300","TNTC"
"2021-12-14","T54","2021-12-15","pos_MS2_working_10xglycerol","-80","1e+07","300","150"
"2021-10-26","T6","2021-10-27","pos_MS2_working_10xglycerol","-80","1e+08","300","1"
"2021-11-02","T13","2021-11-03","pos_MS2_working_10xglycerol","-80","1e+08","300","0"
"2021-11-30","T40","2021-12-01","pos_MS2_working_10xglycerol","-80","1e+08","300","68"
"2021-12-07","T47","2021-12-08","pos_MS2_working_10xglycerol","-80","1e+08","300","37"
"2021-12-14","T54","2021-12-15","pos_MS2_working_10xglycerol","-80","1e+08","300","25"
"2021-10-26","T6","2021-10-27","pos_MS2_working_10xglycerol","-80","1e+09","300","0"
"2021-11-08","T0","2021-11-10","15R1F","15","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","15R1F","15","10000","300","307"
"2021-11-08","T0","2021-11-10","15R1F","15","1e+05","300","17"
"2021-11-08","T0","2021-11-10","15R2F","15","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","15R2F","15","10000","300","297"
"2021-11-08","T0","2021-11-10","15R2F","15","1e+05","300","18"
"2021-11-08","T0","2021-11-10","15R1U","15","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","15R1U","15","10000","300","173"
"2021-11-08","T0","2021-11-10","15R1U","15","1e+05","300","18"
"2021-11-08","T0","2021-11-10","15R2U","15","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","15R2U","15","10000","300","273"
"2021-11-08","T0","2021-11-10","15R2U","15","1e+05","300","26"
"2021-11-08","T0","2021-11-10","10R1F","10","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","10R1F","10","10000","300","277"
"2021-11-08","T0","2021-11-10","10R2F","10","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","10R2F","10","10000","300","240"
"2021-11-08","T0","2021-11-10","10R1U","10","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","10R1U","10","10000","300","180"
"2021-11-08","T0","2021-11-10","10R2U","10","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","10R2U","10","10000","300","313"
"2021-11-08","T0","2021-11-10","20R1F","20","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","20R1F","20","10000","300","251"
"2021-11-08","T0","2021-11-10","20R2F","20","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","20R2F","20","10000","300","151"
"2021-11-08","T0","2021-11-10","20R1U","20","1000","300","TNTC"
"2021-11-08","T0","2021-11-10","20R1U","20","10000","300","141"
"2021-11-08","T0","2021-11-10","20R2U","20","10000","300","172"
"2021-11-08","T0","2021-11-10","20R2U","20","1e+05","300","2"
"2021-11-09","T1","2021-11-10","10R1F","10","100","300","TNTC"
"2021-11-09","T1","2021-11-10","10R1F","10","1000","300","TNTC"
"2021-11-09","T1","2021-11-10","10R1F","10","10000","300","59"
"2021-11-09","T1","2021-11-10","10R1U","10","100","300","TNTC"
"2021-11-09","T1","2021-11-10","10R1U","10","1000","300","259"
"2021-11-09","T1","2021-11-10","10R1U","10","10000","300","31"
"2021-11-09","T1","2021-11-10","10R2F","10","100","300","TNTC"
"2021-11-09","T1","2021-11-10","10R2F","10","1000","300","TNTC"
"2021-11-09","T1","2021-11-10","10R2F","10","10000","300","124"
"2021-11-09","T1","2021-11-10","10R2U","10","100","300","TNTC"
"2021-11-09","T1","2021-11-10","10R2U","10","1000","300","224"
"2021-11-09","T1","2021-11-10","10R2U","10","10000","300","30"
"2021-11-09","T1","2021-11-10","15C1N","15","1","300","0"
"2021-11-09","T1","2021-11-10","15R1F","15","100","300","TNTC"
"2021-11-09","T1","2021-11-11","15R1F","15","100","300","TNTC"
"2021-11-09","T1","2021-11-10","15R1F","15","1000","300","TNTC"
"2021-11-09","T1","2021-11-11","15R1F","15","1000","300","65"
"2021-11-09","T1","2021-11-10","15R1F","15","10000","300","216"
"2021-11-09","T1","2021-11-11","15R1F","15","10000","300","38"
"2021-11-09","T1","2021-11-10","15R1U","15","100","300","TNTC"
"2021-11-09","T1","2021-11-10","15R1U","15","1000","300","107"
"2021-11-09","T1","2021-11-10","15R1U","15","10000","300","16"
"2021-11-09","T1","2021-11-11","15R1U","15","100","300","TNTC"
"2021-11-09","T1","2021-11-11","15R1U","15","1000","300","70"
"2021-11-09","T1","2021-11-11","15R1U","15","10000","300","36"
"2021-11-09","T1","2021-11-10","15R2F","15","100","300","TNTC"
"2021-11-09","T1","2021-11-11","15R2F","15","100","300","TNTC"
"2021-11-09","T1","2021-11-10","15R2F","15","1000","300","94"
"2021-11-09","T1","2021-11-10","15R2F","15","10000","300","20"
"2021-11-09","T1","2021-11-11","15R2F","15","10000","300","58"
"2021-11-09","T1","2021-11-10","15R2U","15","100","300","TNTC"
"2021-11-09","T1","2021-11-10","15R2U","15","1000","300","TNTC"
"2021-11-09","T1","2021-11-10","15R2U","15","10000","300","148"
"2021-11-09","T1","2021-11-11","15R2U","15","100","300","122"
"2021-11-09","T1","2021-11-11","15R2U","15","1000","300","12"
"2021-11-09","T1","2021-11-11","15R2U","15","10000","300","3"
"2021-11-11","T3","2021-11-12","15C1N","15","1","300","0"
"2021-11-11","T3","2021-11-12","15R1F","15","1","300","TNTC"
"2021-11-11","T3","2021-11-12","15R1F","15","10","300","TNTC"
"2021-11-11","T3","2021-11-12","15R1F","15","100","300","TNTC"
"2021-11-11","T3","2021-11-12","15R1F","15","1000","300","247"
"2021-11-11","T3","2021-11-13","15R1F","15","100","300","163"
"2021-11-11","T3","2021-11-13","15R1F","15","10000","300","6"
"2021-11-11","T3","2021-11-13","15R1F","15","10000","300","11"
"2021-11-11","T3","2021-11-12","15R2F","15","1","300","TNTC"
"2021-11-11","T3","2021-11-12","15R1U","15","1","300","TNTC"
"2021-11-11","T3","2021-11-12","15R1U","15","10","300","TNTC"
"2021-11-11","T3","2021-11-12","15R1U","15","100","300","TNTC"
"2021-11-11","T3","2021-11-12","15R1U","15","1000","300","102"
"2021-11-11","T3","2021-11-12","15R2U","15","1","300","TNTC"
"2021-11-11","T3","2021-11-12","15R2U","15","10","300","TNTC"
"2021-11-11","T3","2021-11-12","15R2U","15","100","300","TNTC"
"2021-11-11","T3","2021-11-12","15R2U","15","1000","300","210"
"2021-11-11","T3","2021-11-12","10R1F","10","1","300","TNTC"
"2021-11-11","T3","2021-11-12","10R1F","10","10","300","TNTC"
"2021-11-11","T3","2021-11-12","10R1F","10","100","300","TNTC"
"2021-11-11","T3","2021-11-12","10R1F","10","1000","300","TNTC"
"2021-11-11","T3","2021-11-12","10R2F","10","1","300","TNTC"
"2021-11-11","T3","2021-11-12","10R2F","10","10","300","TNTC"
"2021-11-11","T3","2021-11-12","10R2F","10","100","300","TNTC"
"2021-11-11","T3","2021-11-12","10R2F","10","1000","300","TNTC"
"2021-11-11","T3","2021-11-12","10R1U","10","1","300","TNTC"
"2021-11-11","T3","2021-11-12","10R1U","10","10","300","TNTC"
"2021-11-11","T3","2021-11-12","10R1U","10","100","300","TNTC"
"2021-11-11","T3","2021-11-12","10R1U","10","1000","300","TNTC"
"2021-11-11","T3","2021-11-12","10R2U","10","1","300","TNTC"
"2021-11-11","T3","2021-11-12","10R2U","10","10","300","TNTC"
"2021-11-11","T3","2021-11-12","10R2U","10","100","300","TNTC"
"2021-11-11","T3","2021-11-12","10R2U","10","1000","300","TNTC"
"2021-11-11","T3","2021-11-12","20R1F","20","1","300","TNTC"
"2021-11-11","T3","2021-11-12","20R1F","20","10","300","TNTC"
"2021-11-11","T3","2021-11-12","20R1F","20","100","300","TNTC"
"2021-11-11","T3","2021-11-12","20R1F","20","1000","300","196"
"2021-11-11","T3","2021-11-12","20R2F","20","1","300","TNTC0"
"2021-11-11","T3","2021-11-12","20R2F","20","10","300","TNTC0"
"2021-11-11","T3","2021-11-12","20R2F","20","100","300","TNTC0"
"2021-11-11","T3","2021-11-12","20R2F","20","1000","300","TNTC0"
"2021-11-11","T3","2021-11-12","20R1U","20","1","300","TNTC"
"2021-11-11","T3","2021-11-12","20R1U","20","10","300","TNTC"
"2021-11-11","T3","2021-11-12","20R1U","20","100","300","TNTC"
"2021-11-11","T3","2021-11-12","20R1U","20","1000","300","68"
"2021-11-11","T3","2021-11-12","20R2U","20","1","300","TNTC"
"2021-11-11","T3","2021-11-12","20R2U","20","10","300","TNTC"
"2021-11-11","T3","2021-11-12","20R2U","20","100","300","TNTC"
"2021-11-11","T3","2021-11-12","20R2U","20","1000","300","99"
"2021-11-11","T3","2021-11-12","neg_ecoli_only","20","1","300","0"
"2021-11-09","T1","2021-11-10","20R1F","20","10","300","TNTC"
"2021-11-09","T1","2021-11-10","20R1F","20","100","300","TNTC"
"2021-11-09","T1","2021-11-10","20R1F","20","1000","300","141"
"2021-11-09","T1","2021-11-10","20R1F","20","10000","300","45"
"2021-11-09","T1","2021-11-10","20R1U","20","10","300","TNTC"
"2021-11-09","T1","2021-11-10","20R1U","20","100","300","TNTC"
"2021-11-09","T1","2021-11-10","20R1U","20","1000","300","138"
"2021-11-09","T1","2021-11-10","20R1U","20","10000","300","12"
"2021-11-09","T1","2021-11-10","20R2F","20","10","300","TNTC"
"2021-11-09","T1","2021-11-10","20R2F","20","100","300","TNTC"
"2021-11-09","T1","2021-11-10","20R2F","20","1000","300","258"
"2021-11-09","T1","2021-11-10","20R2F","20","10000","300","44"
"2021-11-09","T1","2021-11-10","20R2U","20","10","300","TNTC"
"2021-11-09","T1","2021-11-10","20R2U","20","100","300","TNTC"
"2021-11-09","T1","2021-11-11","20R2U","20","100","300","TNTC"
"2021-11-09","T1","2021-11-10","20R2U","20","1000","300","246"
"2021-11-09","T1","2021-11-11","20R2U","20","1000","300","42"
"2021-11-09","T1","2021-11-10","20R2U","20","10000","300","4"
"2021-11-09","T1","2021-11-11","20R2U","20","10000","300","3"
"2021-11-09","T1","2021-11-10","neg_ecoli_only","20","1","300","0"
"2021-11-11","T3","2021-11-12","15R2F","15","10","300","TNTC"
"2021-11-11","T3","2021-11-12","15R2F","15","100","300","TNTC"
"2021-11-11","T3","2021-11-12","15R2F","15","1000","300","TNTC"
"2021-11-11","T3","2021-11-13","15R2F","15","1000","300","19"
"2021-11-11","T3","2021-11-13","15R2F","15","10000","300","2"
"2021-11-11","T3","2021-11-13","15R2F","15","1e+05","300","0"
"2021-11-11","T3","2021-11-13","10R1F","10","1000","300","192"
"2021-11-11","T3","2021-11-13","10R1F","10","10000","300","12"
"2021-11-11","T3","2021-11-13","10R1F","10","1e+05","300","0"
"2021-11-11","T3","2021-11-13","10R2F","10","1000","300","52"
"2021-11-11","T3","2021-11-13","10R2F","10","10000","300","6"
"2021-11-11","T3","2021-11-13","10R2F","10","1e+05","300","0"
"2021-11-11","T3","2021-11-13","10R1U","10","1000","300","51"
"2021-11-11","T3","2021-11-13","10R1U","10","10000","300","6"
"2021-11-11","T3","2021-11-13","10R1U","10","1e+05","300","3"
"2021-11-11","T3","2021-11-13","10R2U","10","1000","300","117"
"2021-11-11","T3","2021-11-13","10R2U","10","10000","300","16"
"2021-11-11","T3","2021-11-13","10R2U","10","1e+05","300","0"
"2021-11-11","T3","2021-11-13","20R1F","20","100","300","17"
"2021-11-11","T3","2021-11-13","20R1F","20","1000","300","1"
"2021-11-11","T3","2021-11-13","20R1F","20","10000","300","1"
"2021-11-11","T3","2021-11-13","20R2F","20","100","300","TNTC0"
"2021-11-11","T3","2021-11-13","20R2F","20","1000","300","TNTC0"
"2021-11-11","T3","2021-11-13","20R2F","20","10000","300","TNTC0"
"2021-11-11","T3","2021-11-13","20R1U","20","100","300","6"
"2021-11-11","T3","2021-11-13","20R1U","20","1000","300","0"
"2021-11-11","T3","2021-11-13","20R1U","20","10000","300","0"
"2021-11-11","T3","2021-11-13","neg_ecoli_only","20","1","300","0"
"2021-11-11","T5","2021-11-12","15R1F","15","10","300","TNTC"
"2021-11-11","T5","2021-11-12","15R1F","15","100","300","201"
"2021-11-11","T5","2021-11-12","15R1F","15","1000","300","14"
"2021-11-11","T5","2021-11-12","15R1F","15","10000","300","0"
"2021-11-11","T5","2021-11-12","15R2F","15","10","300","TNTC"
"2021-11-11","T5","2021-11-12","15R2F","15","100","300","93"
"2021-11-11","T5","2021-11-12","15R2F","15","1000","300","5"
"2021-11-11","T5","2021-11-12","15R2F","15","10000","300","2"
"2021-11-11","T5","2021-11-12","15R1U","15","10","300","TNTC"
"2021-11-11","T5","2021-11-12","15R1U","15","100","300","60"
"2021-11-11","T5","2021-11-12","15R1U","15","1000","300","5"
"2021-11-11","T5","2021-11-12","15R1U","15","10000","300","0"
"2021-11-11","T5","2021-11-12","15R2U","15","10","300","184"
"2021-11-11","T5","2021-11-12","15R2U","15","100","300","55"
"2021-11-11","T5","2021-11-12","15R2U","15","1000","300","5"
"2021-11-11","T5","2021-11-12","15R2U","15","10000","300","0"
"2021-11-11","T5","2021-11-12","10R1F","10","100","300","TNTC"
"2021-11-11","T5","2021-11-12","10R1F","10","1000","300","81"
"2021-11-11","T5","2021-11-12","10R1F","10","10000","300","6"
"2021-11-11","T5","2021-11-12","10R1F","10","1e+05","300","0"
"2021-11-11","T5","2021-11-12","10R2F","10","100","300","TNTC"
"2021-11-11","T5","2021-11-12","10R2F","10","1000","300","61"
"2021-11-11","T5","2021-11-12","10R2F","10","10000","300","6"
"2021-11-11","T5","2021-11-12","10R2F","10","1e+05","300","1"
"2021-11-11","T5","2021-11-12","10R1U","10","100","300","TNTC"
"2021-11-11","T5","2021-11-12","10R1U","10","1000","300","86"
"2021-11-11","T5","2021-11-12","10R1U","10","10000","300","8"
"2021-11-11","T5","2021-11-12","10R1U","10","1e+05","300","0"
"2021-11-11","T5","2021-11-12","10R2U","10","100","300","TNTC"
"2021-11-11","T5","2021-11-12","10R2U","10","1000","300","76"
"2021-11-11","T5","2021-11-12","10R2U","10","10000","300","4"
"2021-11-11","T5","2021-11-12","10R2U","10","1e+05","300","0"
"2021-11-11","T5","2021-11-12","20R1F","20","10","300","43"
"2021-11-11","T5","2021-11-12","20R1F","20","100","300","1"
"2021-11-11","T5","2021-11-12","20R1F","20","1000","300","0"
"2021-11-11","T5","2021-11-12","20R1F","20","10000","300","0"
"2021-11-11","T5","2021-11-12","20R2F","20","1","300","TNTC"
"2021-11-11","T5","2021-11-12","20R2F","20","10","300","TNTC"
"2021-11-11","T5","2021-11-12","20R2F","20","100","300","152"
"2021-11-11","T5","2021-11-12","20R2F","20","1000","300","22"
"2021-11-11","T5","2021-11-12","20R2F","20","10000","300","3"
"2021-11-11","T5","2021-11-12","20R2F","20","1e+05","300","0"
"2021-11-11","T5","2021-11-12","20R1U","20","10","300","0"
"2021-11-11","T5","2021-11-12","20R1U","20","100","300","0"
"2021-11-11","T5","2021-11-12","20R1U","20","1000","300","0"
"2021-11-11","T5","2021-11-12","20R1U","20","10000","300","0"
"2021-11-11","T5","2021-11-16","20R1U","20","1","300","108"
